22, 4
23, 4
24, 4
25, 4
26, 3
26, 4
27, 3
28, 3
29, 3
30, 2
30, 3
31, 2
32, 2
33, 2
34, 1
34, 2
35, 1
36, 1
37, 1
38, 1
39, 1
40, 1
41, 1
42, 1
70, 1
71, 1
72, 1
73, 1
74, 1
90, 2
91, 2
92, 2
93, 2
94, 1
94, 2
95, 1
96, 1
97, 1
98, 1
99, 1
100, 1
101, 1
102, 1
118, 1
119, 1
120, 1
121, 1
122, 1
123, 1
124, 1
125, 1
126, 1
134, 2
135, 2
136, 2
137, 2
138, 2
162, 1
163, 1
164, 1
165, 1
166, 1
167, 1
168, 1
169, 1
170, 1
178, 3
179, 3
180, 3
181, 3
182, 3
190, 2
191, 2
192, 2
193, 2
194, 1
194, 2
195, 1
196, 1
197, 1
198, 1
