10, 1
10, 3
10, 4
11, 1
11, 4
12, 1
12, 4
13, 1
13, 4
14, 1
14, 3
14, 4
15, 1
15, 3
15, 4
16, 1
16, 3
16, 4
17, 1
17, 3
17, 4
18, 1
18, 3
18, 4
19, 1
19, 4
20, 1
20, 4
21, 1
21, 4
22, 1
22, 2
22, 3
22, 4
23, 2
23, 3
23, 4
24, 2
24, 3
24, 4
25, 2
25, 3
25, 4
26, 2
26, 3
26, 4
27, 2
28, 2
29, 2
30, 2
31, 2
32, 2
33, 2
34, 2
34, 3
35, 3
36, 3
37, 3
38, 3
42, 4
43, 4
44, 4
45, 4
46, 3
46, 4
47, 3
47, 4
48, 3
48, 4
49, 3
49, 4
50, 3
50, 4
58, 3
59, 3
60, 3
61, 3
62, 3
70, 3
71, 3
72, 3
73, 3
74, 3
90, 3
90, 4
91, 3
91, 4
92, 3
92, 4
93, 3
93, 4
94, 3
94, 4
95, 3
95, 4
96, 3
96, 4
97, 3
97, 4
98, 3
98, 4
99, 3
