6, 4
7, 4
8, 4
9, 4
10, 3
10, 4
11, 3
12, 3
13, 3
14, 2
14, 3
15, 2
16, 2
17, 2
18, 2
22, 4
23, 4
24, 4
25, 4
26, 4
27, 4
28, 4
29, 4
30, 1
30, 4
31, 1
32, 1
33, 1
34, 1
35, 1
36, 1
37, 1
38, 1
38, 3
39, 3
40, 3
41, 3
42, 3
43, 3
44, 3
45, 3
46, 2
46, 3
47, 2
48, 2
49, 2
50, 2
58, 2
59, 2
60, 2
61, 2
62, 2
63, 2
64, 2
65, 2
66, 2
66, 4
67, 4
68, 4
69, 4
70, 4
71, 4
72, 4
73, 4
74, 1
74, 4
75, 1
76, 1
77, 1
78, 1
79, 1
80, 1
81, 1
82, 1
82, 3
83, 3
84, 3
85, 3
86, 3
87, 3
88, 3
89, 3
90, 3
98, 2
99, 2
